id,user/name,full_text,favorite_count,reply_count,created_at
UgwIJw5gRK5oGWVKeYJ4AaABAg,Kraang Productions Brasil,Espetacular.,1,0,2022-11-03T21:29:20Z
Ugyy6LpUNWAmDJgqvMx4AaABAg,Alex Sena,copas? kkkkkkkkkkk,0,0,2022-11-03T12:58:01Z
UgwEL7pCg-rll9zO3C54AaABAg,Cristina Riuto,O rei dos &#39;Copas&#39;<br>Eu:caraca...bateu uma nostalgia dos desenhos do mario,0,0,2022-11-01T09:36:16Z
Ugy97nYzOHY7yYv37Md4AaABAg,Leonardo Coutinho,Essa dublagem tá fantastica 🤩  unica coisa que precisam fazer è não trocar o elenco por famosos,0,0,2022-11-01T01:22:11Z
Ugw1wAbPxG6rCB8QpQp4AaABAg,Luiz Carlos Briches,kkkkkkkkkk tudo perfeito mas falar copa foi foda fala kuupa por favorzinho,0,0,2022-10-31T15:18:54Z
Ugw46rSYmiY6zvcbKM94AaABAg,Duiu,"N gostei da voz do Mario nem do Bowser,nem combinou em relacao ao jogo,n entendo a babacao d ovo falando da dublagem,realmente a dublagem eh a melhor porem essas vozes n combinaram,o Mario nem parece italiano.",0,0,2022-10-30T08:24:04Z
UgyIMQ49QFEb0ZuhTHl4AaABAg,Cakexzinn,Quando o filme irá ser lançado?,0,2,2022-10-29T14:58:08Z
Ugz83pT_hHWo32o_fnl4AaABAg,Daniel Vieira,Era tudo que o cinema precisava! Sempre amei o Super Mario! Essa animação é imperdível!,1,0,2022-10-27T09:33:20Z
UgxFnYb6mz7m8csDz3V4AaABAg,VTUBER POBRE,"Tá errado os personagens não são de fazer frases grandes e textos,  a expressão tá muito ruim , 2022 os cara não aprendeu ainda? Po que chato em",1,1,2022-10-27T03:45:03Z
Ugw0qtKe8uWD_4AfXAB4AaABAg,Benjamin Cohen,AWESOME ! VERSION BRAZIL IS VERY PERFECTO AWESOME ! I&#39;m french and we find ur version best of all,0,0,2022-10-26T22:50:37Z
UgwDFO7zNnwwUUXuAZl4AaABAg,Geibs0n,Que dublagem maravilhosa,1,0,2022-10-26T19:32:08Z
UgzmDnbF8xOmViZxV8p4AaABAg,wyxbia,mano eu tô esperando por isso 😔,0,0,2022-10-26T02:11:08Z
Ugxdr2XOREHLziLv0ld4AaABAg,J4BOTA,Pq o Luigi só se ferra ais maioriaa das vezes eu acho;--;,1,2,2022-10-26T00:32:13Z
UgxsMWtQUfKBZvHpEbd4AaABAg,porco aranha,Espero que mantenham essa dublagem,1,0,2022-10-25T22:49:07Z
UgwEeXbQYaNP5sTpDOV4AaABAg,THOR Games e Videos,Não quebra a dublagem deixa assim pfv😭,0,0,2022-10-25T15:14:26Z
UgwxlewlcsxS029HIbJ4AaABAg,Vitor Guedes,"<a href=""https://www.youtube.com/watch?v=wkn-Gb-Fhac&amp;t=1m29s"">1:29</a> agora quem vai me DETER???!!!!!!!!!!",1,1,2022-10-25T00:35:11Z
UgyYOrTl0bJIHs9QT5h4AaABAg,Rafelitto,Maaaano QUE FODAAAAA FICO MELHOR Q O SONIC,0,0,2022-10-24T11:10:13Z
